n,run,totalms,totalkb,phase4ms
7,1,33.0,10.5986328125,0.335
7,2,33.8,10.5986328125,0.385
7,3,34.054,10.5986328125,0.304
7,4,33.744,10.5986328125,0.304
7,5,35.335,10.5986328125,0.522
13,1,36.463,22.9384765625,0.63
13,2,36.329,22.9384765625,0.627
13,3,38.382,22.9384765625,0.636
13,4,35.993,22.9384765625,0.658
13,5,35.293,22.9384765625,0.638
31,1,42.628,59.3544921875,1.76
31,2,42.175,59.3544921875,1.847
31,3,41.365,59.3544921875,1.706
31,4,42.429,59.3544921875,1.786
31,5,41.745,59.3544921875,1.711
64,1,57.198,138.2158203125,4.12
64,2,56.138,138.2158203125,4.012
64,3,57.222,138.2158203125,3.946
64,4,56.537,138.2158203125,3.962
64,5,54.738,138.2158203125,4.005
